Komoditas,TGl,Harga
Bawang Merah,20/06/21,34535.5
Bawang Merah,21/06/21,29932.0
Bawang Merah,22/06/21,29964.0
Bawang Merah,23/06/21,30059.0
Bawang Merah,24/06/21,30281.0
Bawang Merah,25/06/21,30005.0
Bawang Merah,26/06/21,34535.5
Bawang Merah,27/06/21,34535.5
Bawang Merah,28/06/21,30505.0
Bawang Merah,29/06/21,30940.0
Bawang Merah,30/06/21,30986.0
Bawang Merah,01/07/21,31184.0
Bawang Merah,02/07/21,31331.0
Bawang Merah,03/07/21,34535.5
Bawang Merah,04/07/21,34535.5
Bawang Merah,05/07/21,31270.0
Bawang Merah,06/07/21,31619.0
Bawang Merah,07/07/21,31746.0
Bawang Merah,08/07/21,31745.0
Bawang Merah,09/07/21,31639.0
Bawang Merah,10/07/21,34535.5
Bawang Merah,11/07/21,34535.5
Bawang Merah,12/07/21,31740.0
Bawang Merah,13/07/21,31843.0
Bawang Merah,14/07/21,31803.0
Bawang Merah,15/07/21,31706.0
Bawang Merah,16/07/21,32145.0
Bawang Merah,17/07/21,34535.5
Bawang Merah,18/07/21,34535.5
Bawang Merah,19/07/21,32608.0
Bawang Merah,20/07/21,34535.5
Bawang Merah,21/07/21,33236.0
Bawang Merah,22/07/21,33038.0
Bawang Merah,23/07/21,33306.0
Bawang Merah,24/07/21,34535.5
Bawang Merah,25/07/21,35000.0
Bawang Merah,26/07/21,33477.0
Bawang Merah,27/07/21,33832.0
Bawang Merah,28/07/21,33989.0
Bawang Merah,29/07/21,34412.0
Bawang Merah,30/07/21,34419.0
Bawang Merah,31/07/21,34535.5
Bawang Merah,01/08/21,34535.5
Bawang Merah,02/08/21,34949.0
Bawang Merah,03/08/21,35134.0
Bawang Merah,04/08/21,35023.0
Bawang Merah,05/08/21,34605.0
Bawang Merah,06/08/21,34828.0
Bawang Merah,07/08/21,34535.5
Bawang Merah,08/08/21,34535.5
Bawang Merah,09/08/21,34690.0
Bawang Merah,10/08/21,34044.0
Bawang Merah,11/08/21,34535.5
Bawang Merah,12/08/21,34688.0
Bawang Merah,13/08/21,34183.0
Bawang Merah,14/08/21,34535.5
Bawang Merah,15/08/21,34535.5
Bawang Merah,16/08/21,33860.0
Bawang Merah,17/08/21,34535.5
Bawang Merah,18/08/21,33713.0
Bawang Merah,19/08/21,33096.0
Bawang Merah,20/08/21,32790.0
Bawang Merah,21/08/21,34535.5
Bawang Merah,22/08/21,34535.5
Bawang Merah,23/08/21,32705.0
Bawang Merah,24/08/21,32381.0
Bawang Merah,25/08/21,31956.0
Bawang Merah,26/08/21,31700.0
Bawang Merah,27/08/21,31445.0
Bawang Merah,28/08/21,34535.5
Bawang Merah,29/08/21,34535.5
Bawang Merah,30/08/21,30776.0
Bawang Merah,31/08/21,30828.0
Bawang Merah,01/09/21,30641.0
Bawang Merah,02/09/21,30483.0
Bawang Merah,03/09/21,30391.0
Bawang Merah,04/09/21,34535.5
Bawang Merah,05/09/21,34535.5
Bawang Merah,06/09/21,29818.0
Bawang Merah,07/09/21,29627.0
Bawang Merah,08/09/21,29548.0
Bawang Merah,09/09/21,29681.0
Bawang Merah,10/09/21,29502.0
Bawang Merah,11/09/21,34535.5
Bawang Merah,12/09/21,34535.5
Bawang Merah,13/09/21,29087.0
Bawang Merah,14/09/21,29022.0
Bawang Merah,15/09/21,28912.0
Bawang Merah,16/09/21,28914.0
Bawang Merah,17/09/21,28919.0
Bawang Merah,19/09/21,34535.5
Bawang Merah,20/09/21,28679.0
Bawang Merah,21/09/21,28654.0
Bawang Merah,22/09/21,28761.0
Bawang Merah,23/09/21,28796.0
Bawang Merah,24/09/21,28740.0
Bawang Merah,25/09/21,34535.5
Bawang Merah,26/09/21,34535.5
Bawang Merah,27/09/21,28556.0
Bawang Merah,28/09/21,28258.0
Bawang Merah,29/09/21,27972.0
Bawang Merah,30/09/21,28165.0
Bawang Merah,01/10/21,28150.0
Bawang Merah,02/10/21,34535.5
Bawang Merah,03/10/21,34535.5
Bawang Merah,04/10/21,27528.0
Bawang Merah,05/10/21,27729.0
Bawang Merah,06/10/21,27923.0
Bawang Merah,07/10/21,27775.0
Bawang Merah,08/10/21,27928.0
Bawang Merah,09/10/21,34535.5
Bawang Merah,10/10/21,34535.5
Bawang Merah,11/10/21,27844.0
Bawang Merah,12/10/21,27915.0
Bawang Merah,13/10/21,27946.0
Bawang Merah,14/10/21,28106.0
Bawang Merah,15/10/21,28085.0
Bawang Merah,16/10/21,34535.5
Bawang Merah,17/10/21,34535.5
Bawang Merah,18/10/21,28206.0
Bawang Merah,19/10/21,28236.0
Bawang Merah,20/10/21,34535.5
Bawang Merah,21/10/21,28470.0
Bawang Merah,22/10/21,28150.0
Bawang Merah,23/10/21,34535.5
Bawang Merah,24/10/21,34535.5
Bawang Merah,25/10/21,27790.0
Bawang Merah,26/10/21,27990.0
Bawang Merah,27/10/21,28251.0
Bawang Merah,28/10/21,28193.0
Bawang Merah,29/10/21,28137.0
Bawang Merah,30/10/21,34535.5
Bawang Merah,31/10/21,34535.5
Bawang Merah,01/11/21,28037.0
Bawang Merah,02/11/21,27593.0
Bawang Merah,03/11/21,27168.0
Bawang Merah,04/11/21,27106.0
Bawang Merah,05/11/21,27246.0
Bawang Merah,06/11/21,34535.5
Bawang Merah,07/11/21,34535.5
Bawang Merah,08/11/21,27229.0
Bawang Merah,09/11/21,27070.0
Bawang Merah,10/11/21,27236.0
Bawang Merah,11/11/21,27480.0
Bawang Merah,12/11/21,26994.0
Bawang Merah,13/11/21,34535.5
Bawang Merah,14/11/21,34535.5
Bawang Merah,15/11/21,26701.0
Bawang Merah,16/11/21,26585.0
Bawang Merah,17/11/21,26673.0
Bawang Merah,18/11/21,26584.0
Bawang Merah,19/11/21,26330.0
Bawang Merah,20/11/21,34535.5
Bawang Merah,21/11/21,34535.5
Bawang Merah,27/11/21,34535.5
Bawang Merah,28/11/21,34535.5
Bawang Merah,04/12/21,34535.5
Bawang Merah,05/12/21,34535.5
Bawang Merah,10/12/21,26354.0
Bawang Merah,11/12/21,34535.5
Bawang Merah,12/12/21,34535.5
Bawang Merah,13/12/21,26846.0
Bawang Merah,14/12/21,27009.0
Bawang Merah,15/12/21,27085.0
Bawang Merah,16/12/21,27267.0
Bawang Merah,17/12/21,27387.0
Bawang Merah,18/12/21,34535.5
Bawang Merah,19/12/21,34535.5
Bawang Merah,20/12/21,28028.0
Bawang Merah,21/12/21,27881.0
Bawang Merah,22/12/21,28083.0
Bawang Merah,23/12/21,28154.0
Bawang Merah,24/12/21,28329.0
Bawang Merah,25/12/21,34535.5
Bawang Merah,26/12/21,34535.5
Bawang Merah,27/12/21,28420.0
Bawang Merah,28/12/21,28117.0
Bawang Merah,29/12/21,28054.0
Bawang Merah,30/12/21,28553.0
Bawang Merah,31/12/21,28462.0
Bawang Merah,01/01/22,34535.5
Bawang Merah,02/01/22,34535.5
Bawang Merah,03/01/22,28486.0
Bawang Merah,04/01/22,28600.0
Bawang Merah,05/01/22,28640.0
Bawang Merah,06/01/22,29030.0
Bawang Merah,07/01/22,28774.0
Bawang Merah,08/01/22,34535.5
Bawang Merah,09/01/22,34535.5
Bawang Merah,10/01/22,29057.0
Bawang Merah,11/01/22,29439.0
Bawang Merah,12/01/22,29409.0
Bawang Merah,13/01/22,29861.0
Bawang Merah,14/01/22,30026.0
Bawang Merah,15/01/22,34535.5
Bawang Merah,16/01/22,34535.5
Bawang Merah,17/01/22,30294.0
Bawang Merah,18/01/22,30225.0
Bawang Merah,19/01/22,30039.0
Bawang Merah,20/01/22,30106.0
Bawang Merah,21/01/22,30093.0
Bawang Merah,22/01/22,34535.5
Bawang Merah,23/01/22,34535.5
Bawang Merah,24/01/22,30288.0
Bawang Merah,25/01/22,30290.0
Bawang Merah,26/01/22,30197.0
Bawang Merah,27/01/22,30353.0
Bawang Merah,28/01/22,30252.0
Bawang Merah,29/01/22,34535.5
Bawang Merah,30/01/22,34535.5
Bawang Merah,31/01/22,30317.0
Bawang Merah,01/02/22,34535.5
Bawang Merah,02/02/22,30468.0
Bawang Merah,03/02/22,30621.0
Bawang Merah,04/02/22,31139.0
Bawang Merah,05/02/22,34535.5
Bawang Merah,06/02/22,34535.5
Bawang Merah,07/02/22,31985.0
Bawang Merah,08/02/22,32090.0
Bawang Merah,09/02/22,32360.0
Bawang Merah,10/02/22,32516.0
Bawang Merah,11/02/22,32824.0
Bawang Merah,12/02/22,34535.5
Bawang Merah,13/02/22,34535.5
Bawang Merah,14/02/22,34349.0
Bawang Merah,15/02/22,34627.0
Bawang Merah,16/02/22,34767.0
Bawang Merah,17/02/22,35068.0
Bawang Merah,18/02/22,35332.0
Bawang Merah,19/02/22,34535.5
Bawang Merah,20/02/22,34535.5
Bawang Merah,21/02/22,35841.0
Bawang Merah,22/02/22,35786.0
Bawang Merah,23/02/22,36112.0
Bawang Merah,24/02/22,35975.0
Bawang Merah,25/02/22,36041.0
Bawang Merah,26/02/22,34535.5
Bawang Merah,27/02/22,34535.5
Bawang Merah,28/02/22,34535.5
Bawang Merah,01/03/22,36537.0
Bawang Merah,02/03/22,36871.0
Bawang Merah,03/03/22,34535.5
Bawang Merah,04/03/22,37081.0
Bawang Merah,05/03/22,34535.5
Bawang Merah,06/03/22,34535.5
Bawang Merah,07/03/22,36756.0
Bawang Merah,08/03/22,36918.0
Bawang Merah,09/03/22,37054.0
Bawang Merah,10/03/22,36983.0
Bawang Merah,11/03/22,36693.0
Bawang Merah,12/03/22,34535.5
Bawang Merah,13/03/22,34535.5
Bawang Merah,14/03/22,36433.0
Bawang Merah,15/03/22,36242.0
Bawang Merah,16/03/22,35955.0
Bawang Merah,17/03/22,35566.0
Bawang Merah,18/03/22,35561.0
Bawang Merah,19/03/22,34535.5
Bawang Merah,20/03/22,34535.5
Bawang Merah,21/03/22,35033.0
Bawang Merah,22/03/22,35151.0
Bawang Merah,23/03/22,35038.0
Bawang Merah,24/03/22,34785.0
Bawang Merah,25/03/22,34954.0
Bawang Merah,26/03/22,34535.5
Bawang Merah,27/03/22,34535.5
Bawang Merah,28/03/22,34350.0
Bawang Merah,29/03/22,34342.0
Bawang Merah,30/03/22,34169.0
Bawang Merah,31/03/22,33969.0
Bawang Merah,01/04/22,34118.0
Bawang Merah,02/04/22,34535.5
Bawang Merah,03/04/22,34535.5
Bawang Merah,04/04/22,33783.0
Bawang Merah,05/04/22,33752.0
Bawang Merah,06/04/22,34311.0
Bawang Merah,07/04/22,34352.0
Bawang Merah,08/04/22,34257.0
Bawang Merah,09/04/22,34535.5
Bawang Merah,10/04/22,34535.5
Bawang Merah,11/04/22,34535.0
Bawang Merah,12/04/22,34402.0
Bawang Merah,13/04/22,34340.0
Bawang Merah,14/04/22,34118.0
Bawang Merah,15/04/22,38750.0
Bawang Merah,16/04/22,34535.5
Bawang Merah,17/04/22,34535.5
Bawang Merah,18/04/22,33616.0
Bawang Merah,19/04/22,33976.0
Bawang Merah,20/04/22,33955.0
